ETD status,PID,Author name,Title,Abstract,Table of Contents
draft,emory:9ksrw,"Button, Mary Elizabeth","Paul on the Road to Natchez: Resurrection and Conversion in the
Christ-Haunted South","Abstract
Paul on the Road to Natchez: Conversion and Resurrection in the
Christ-Haunted South
By Mary Elizabeth Button
Paul on the Road to Natchez is a project that is comprised
of both paintings and essays in
which the conversion of Paul is imagined at various sites along the
Natchez Trace. In
each of the fifteen pieces in the series, well-know images of
Saul's conversion (some
from art history, others from family Bibles) have been reproduced
within an illustration
of sites along the Natchez Trace. Saul's journey to Damascus, and
the blinding light of
the resurrected Christ that transforms Saul into Paul, provides the
narrative structure for
the project.

Paul on the Road to Natchez: Conversion and Resurrection in the
Christ-Haunted South
By
Mary Elizabeth Button
Bachelor of Fine Arts
New York University
2006
Thesis Committee Chair: Rev. Barbara Day Miller, M.Div
A thesis submitted to the Faculty of the
Candler School of Theology
in partial fulfillment of the requirements for the degree of
Master of Theological Studies
2011","Introduction 6 -- LaSalle Claiming Louisiana for the French 17 --
Dancing on the Island of Dominica 21 -- George Colbert of Colbert's
Ferry 26 -- St. Paul of the Camellia 33 -- The Lily-Pure Maid of
Astolat 38 -- Windsor Ruins 43 -- Camp Meeting 49 -- Mount Locust
Inn and Plantation 55 -- St. Paul of the Kudzu 60 -- Tobacco Farm
64 -- Siege of Vicksburg 67 -- Emerald Mound Site 72 -- Rosalie 74
-- Rocky Springs United Methodist Church 79 -- Daniel Boone
Escorting Travelers Through the Cumberland Gap 83 -- Conclusion 83
-- Bibliography 88"
draft,emory:b4m7f,"Varner, Stewart","Islands of Memory: The Sea Islands, Black Women Artists, and the
Promise of Home","Abstract
Islands of Memory: The Sea Islands, Black Women Artists, and the
Promise of Home
By Folashadé Alao

This study examines the development and construction of the Sea
Islands as a
significant cultural landscape in the black imagination and
historicizes the processes
informing the Sea Islands' contemporary emergence as a site of
memory. The
coalescence of cultural and academic interests, the publication of
new research materials
on the Sea Islands, and the discovery and republication of old
works, such as Drums and
Shadows, during the 1970's enabled the Sea Islands to emerge in
the national black
imagination in new ways that black visual artists and writers would
illuminate. The
movement of Gullah culture into the mainstream and the elevation of
the Sea Islands as a
site of memory were aided particularly by literary, dramatic,
musical, and visual arts and
the sustained interests and creative expressions of different
groups of artists.
This study focuses on the particular visualizations of the Sea
Islands in Paule
Marshall's Praisesong for the Widow (1983), Gloria Naylor's
Mama Day (1988), and
Julie Dash's film Daughters of the Dust (1991) and novel
Daughters of the Dust (1997).
Specifically, I underscore the sources they draw upon to construct
their visions; the
voices, images, and histories they challenge; the functions they
hope such a vision will
hold for their readers; and their works' place within the Sea
Islands Cultural Renaissance
which surrounds their publication. Marshall, Naylor, and Dash's
works capture and
respond to a transforming relationship between African Americans
and their African
ancestry as well as to the southern landscape, both of which
resulted from the social and
political struggles of the 1960s and 1970s and a shift in black
migratory patterns in the
1970s. Marshall, Naylor, and Dash's works also reflect a renewed
critical study of
African American origins and genealogy, and the increasing concerns
surrounding the
transformations of black urban and rural life. The Sea Islands, in
these works, emerge as
a site of intersections, continuity, and reconnections with
southern homeplaces, distant
African memories, submerged oral histories, and neglected cultural
traditions.","Table of Contents -- Introduction -- 5 -- Chapter 1 -- ""A Sacred
Place:"" Understanding the Social, Cultural, -- 34 -- and
Demographic History of the Sea Islands -- Chapter 2 -- Paule
Marshall's Search for Home(s): -- 65 -- Return Migration in
Praisesong for the Widow -- Chapter 3 -- ""More than a family . . .
a history:"" The Sea Islands as -- 119 -- a cultural landscape in
Mama Day -- Chapter 4 -- ""We are as two people in one body:""
Migration(s) -- 165 -- and Recollection in Julie Dash's film
Daughters of the Dust -- Chapter 5 -- ""I want to know what it is:""
Folk Narratives, Flying Africans -- 210 -- and Folk Beliefs in
Daughters of the Dust (1997) -- Conclusion -- 253 -- Bibliography
-- 263"
draft,emory:fzjzw,"Nash, Bethany C",The Depression Study,,
draft,emory:pmt1j,"Mendoza-De Jesús, Ronald","Reading Now: Historical Danger in Spanish Caribbean
Modernism",,
draft,emory:pg2cc,"Choi, Dabin","Treatment of diabetic neuropathy in a
streptozotocin-induced diabetic rat model with bone marrow-derived
mesenchymal stem cells","Recent evidence has suggested that diabetic neuropathy
(DN) is pathophysiologically related to both impaired angiogenesis
and a deficiency of neurotrophic factors in the nerves. It is
widely known that vascular and neural growth are intimately
associated. Mesenchymal stem cells (MSCs) promote angiogenesis in
ischemic diseases and have neuroprotective effects, particularly on
Schwann cells. Accordingly, we investigated whether DN could be
improved by local transplantation of MSCs by augmenting
angiogenesis and neural regeneration such as remyelination. In
sciatic nerves of streptozotocin (STZ)-induced diabetic rats, motor
and sensory nerve conduction velocities (NCVs) and capillary
density were reduced, and axonal atrophy and demyelination were
observed. After injection of bone marrow-derived MSCs (BM-MSCs)
into hindlimb muscles, NCVs were restored to near-normal levels.
Histological examination demonstrated that injected MSCs were
preferentially and durably engrafted in the sciatic nerves, and a
portion of the engrafted MSCs were distinctively localized close to
vasa nervora of sciatic nerves. Furthermore, vasa nervora increased
in density, and ultrastructure of myelinated fibers in nerves were
observed to be restored. Real-time RT-PCR experiments showed that
gene expression of multiple factors involved in angiogenesis,
neural function, and myelination were increased in the MSC-injected
nerves. These findings suggest that MSC transplantation improved DN
through direct peripheral nerve angiogenesis, neurotrophic effects,
and restoration of myelination.","Table of Contents --
Introduction................................................................................1-3
-- Materials and
Methods..................................................................4-8
--
Results.......................................................................................9-14
--
Discussion.................................................................................15-18
--
References................................................................................19-24
--
Figures....................................................................................25-34
-- Figure
1..................................................................25
-- Figure
2..................................................................26
-- Figure
3..................................................................27
-- Figure
4..................................................................28-29
-- Figure
5..................................................................30
-- Figure
6..................................................................31-32
-- Figure
7..................................................................33-34"
published,emory:brv7d,"Pura, John Andrew","Development and Validation of a Computer-Aided Multidimensional
Flow Cytometry Analysis Pipeline","Flow cytometry (FCM) is a popular technique, in basic and
clinical research, for the high-throughput characterization of
cellular properties. Modern FCM instruments are now capable of
measuring up to 20 characteristics of an individual cell, resulting
in a rich array of multidimensional information on hundreds of
thousands of cells. Data analysis, however, remains a challenging
aspect of FCM research; the ability to acquire large
multidimensional datasets has outpaced the ability to accurately
and reproducibly detect expected and novel cell populations and
efficiently test biological hypotheses.
The main objective of this work is to develop and validate a
mechanistic pipeline that addresses the challenges found in
high-throughput, multidimensional FCM data analysis. My pipeline
development employs state-of-the art biomedical informatics
software that can be integrated with clinical outcomes.
The pipeline consists of five key steps: 1) data preprocessing,
2) automated gating, 3) automated labeling, 4) feature extraction,
and 5) feature selection. A robust quality assessment step was
implemented at every step of the pipeline to account for potential
sources of systematic error prior to entering a subsequent step in
the pipeline. Validation against human expert analyses showed good
detection of expected cell populations. The integration of
state-of-the art informatics techniques into a single pipeline
shows great potential for scalability to hundreds of thousands of
events and multiple dimensions.
In particular, this pipeline can be used to assess a transplant
recipient's immune repertoire over time in single patients and in a
cross-sectional patient population with diverse diagnostic and
demographic characteristics. The main assumption in the proposed
pipeline is that the mechanisms driving complications in organ
transplantation intersect in a way that is both anticipatable and
measurable.","Chapter 1 -- Introduction 1 -- 1.1 FCM Technology and Data Analysis
2 -- 1.1.1 Overview 2 -- 1.1.2 Sample Preparation and Data
Acquisition 3 -- 1.1.3 Data Analysis 5 -- 1.2 Challenges in Data
Analysis 8 -- 1.2.1 Quality Assessment 8 -- 1.2.2 Population Gating
9 -- 1.2.3 Population Labeling 10 -- 1.2.4 Feature Selection 10 --
1.3 Proposed Solution - A Computer-Aided Analysis Pipeline 11 --
1.4 Organization of Thesis 11 -- Chapter 2 -- Introduction 13 --
2.1 Overview of Proposed Pipeline 14 -- 2.2 Pipeline Components 17
-- 2.2.1 Quality Assessment 17 -- 2.2.2 Data Preprocessing 24 --
2.2.3 Cell Population Identification and Labeling 37 -- 2.2.4
Feature Extraction 39 -- 2.2.5 Feature Selection 39 -- Chapter 3 --
3.1 Validation of the Analysis Pipeline 41 -- 3.1.1 Dataset 42 --
3.1.2 Methods 43 -- 3.1.3 Statistical Analyses 45 -- 3.1.4 Results
46 -- 3.1.5 Discussion 51 -- 3.2 Ongoing and Future Work 53 -- 3.3
Biological Motivation - Organ Transplantation 53 -- 3.3.1
Significance 53 -- 3.3.2 Intrinsic Risk Profile 54 -- 3.4 Role of
Multidimensional FCM Analysis 55 -- 3.5 Study Descriptions 56 --
3.5.1 Patient Cohort 56 -- 3.5.2 Dataset 56 -- 3.5.3 BK Virus Study
57 -- 3.5.4 T-cell Repopulation Study 58 -- Concluding Remarks 59"
published,emory:brssd,"Fisch, Marylynn Christine","Effects of Toxoplasma Serointensity on Cognitive Function
Amongst Schizophrenic Patients",,
published,emory:bq022,"Campbell, Colleen Marie",Prosecuting War Criminals in Bosnia and Herzegovina,"Abstract
Prosecuting War Criminals in Bosnia and Herzegovina
This study empirically evaluates the relationship between
post-conflict justice and
reconciliation by assessing the impact of war crimes trials on
processes of local reconciliation
across sub-national units in post-conflict Bosnia. The study finds
that post-conflict justice
positively impacts reconciliation in municipalities that
experienced the most severe violence of
the war, while providing no significant impact in municipalities
that experienced less violence
and potentially an adverse impact in municipalities that
experienced the absolute least amount of
wartime violence. These results suggest the need for a more complex
theory of the relationship
between reconciliation and post-conflict justice.","Table of Contents --
Introduction.................................................................................................................
1 --
--
-- Literature
Review..........................................................................................................
4 --
--
--
Hypothesis.................................................................................................................
13 --
--
-- Research Design and
Methods.......................................................................................
22 --
--
-- Quantitative
Analysis...................................................................................................
31 --
--
--
Conclusion..................................................................................................................
66 --
--
--
Appendix....................................................................................................................
69 --
--
--
Notes.........................................................................................................................
76 --
--
--
References..................................................................................................................
77 --
--
-- List of Tables -- Table 1: Visual
Representation of
Hypotheses..................................................................
20 -- Table 2: A Comparison of Wartime Violence and Support for
Ultranationalist Parties............. 33 -- Table 3: Prosecution
Rate and Wartime Violence Municipal Group
Comparison..................... 34 -- Table 4: Prosecution Rate and
Urbanization Municipal Group Comparison............................
35 -- Table 5: Beta Coefficients and Standard Error for Models 1
and 2....................................... 38 -- Table 6:
Marginal Effects of Prosecution Rate at Different Values of Wartime
Violence........... 39 -- Table 7: A Model for High Violence
Municipalities.............................................................
40 --
-- List of Figures -- Chart 1: Diversity of Support for
Ultranationalist
Parties.................................................... 31 --
Chart 2: Severity of Sentences and Wartime Violence Municipal Group
Comparison............... 37"
published,emory:g2326,"Florian, Marianne Parrish","COGNITIVELY BASED COMPASSION TRAINING: BUDDHIST-INFLECTED
MEDITATION IN A SECULAR MODE","Cognitively-Based Compassion Training (CBCT) is a
Buddhist-Inflected Secular Meditation (BISM) program based on
teachings from the lam rim and lojong traditions of
Tibetan Buddhism. This program is one constituent in a burgeoning
field of meditation programs pursuing diverse objectives through a
variety of pedagogical approaches. Some meditation programs,
including CBCT, teach values such as compassion and kindness, which
are often associated with religious rather than secular virtues.
BISM programs' goals and teaching styles affect the ways that they
constitute their own secular status. At the same time, public
discourse about the proven health benefits of developing kindness
and compassion and the possibility that compassion and kindness are
universal human values--a position championed by the Dalai
Lama--lend further support to the secular status of any BISMs that
teach ethical values and virtues.

CBCT has clear textual antecedents from Tibetan
Buddhism. Therefore, a comparison between the CBCT protocol and one
source text from the Lam rim chen mo by Tsongkhapa
illuminates some of the secularizing choices made in developing
this new meditation program. A parallel between the two
descriptions is evident in a sequence of cognitive and emotional
states that CBCT heartily maintains from its antecedent. Some of
CBCT's researchers have interpreted this cognitive-affective
cascade--including impartiality, gratitude, affection,
love/compassion, and resolve--as evidence that contemplative
traditions uncover and employ the natural propensities of certain
mental and emotional states to amplify subsequent ones. Dynamics of
contrast discernible between Tsongkhapa's text and the CBCT
protocol include subtraction, addition, and rearranging; and each
of these contribute in different ways to CBCT's secularization
process. Analyzing the component decisions that add up to
secularization cannot fail to reveal that the polar opposite
categories of secularity and religion are inadequate to explain a
cultural product such as a meditation training program. Yet, close
attention to secular cultural status and to secularization
processes will be useful to future studies of Buddhist-inflected
secular meditation, because these question address how such
programs represent themselves and how diverse practitioners engage
with them.","TABLE OF CONTENTS -- PROLOGUE, 1 -- INTRODUCTION, 4 -- CBCT Program
Overview, 5 -- Research Methods and Sources, 19 -- An Aside about
Religious Experience and Meditation, 22 -- 1. CBCT AND ITS
CONTEMPLATIVE SCIENCE CONTEXT: THE FEATURES THAT IMPACT SECULAR
STATUS, 27 -- Sites of Differentiation, 33 -- Histories and
Descriptions, 37 -- Compassion Training and the Dalai Lama's
Secular Ethics, 52 -- Conclusion, 61 -- 2. DETECTING SECULARIZATION
BETWEEN CBCT AND TSONGKHAPA, 63 -- Background Information on
AtiÃƒâ€¦Ã¢â‚¬Âºa
and Tsongkhapa, 64 -- On the Seven Cause-and-Effect Personal
Instructions, 66 -- Shared Emphases, 73 -- Subtracting, Adding, and
Rearranging the Steps, 77 -- Conclusion, 84 -- BIBLIOGRAPHY, 86 --
NON-PRINTED SOURCES, 90"
published,emory:92zd0,"Murray, Ryan","The Effects of CMS on Rats Selectively-bred for Behavior Related to
Bipolar-like and Depression-like Symptoms","The chronic mild stress (CMS) paradigm often uses preference for
sucrose as a measure of
hypothesized anhedonia in rats. However, this measure is rife with
unreliability, an issue that
could be due to genetic differences between rats. This study tested
this hypothesis by subjecting
rats selectively bred for affective disorder-like behavior to CMS.
Five lines of rats selectively-
bred for behavior related to affective disorders were used:
Hyperactive (HYPER), Swim-test
Susceptible (SUS), Swim-test Resistant (RES), Swim Low-active
(SwLo), and Swim High-
active (SwHi) rats. The reactions of these selectively-bred lines
to CMS were compared to the
reactions of non-selectively bred (NS) rats which were used as
controls. In addition, both female
and male HYPER and NS rats were examined. Sucrose intake and
preference for sucrose, as
determined by the proportion of total fluid intake that was water
intake, were measured and
analyzed. Food intake and dark and light phase motor activity were
also measured. During
CMS, stressed HYPER rats, both females and males, SUS, RES, and
SwHi rats showed lower
preference for sucrose than did non-stressed rats of the same
lines. In contrast, stressed female
NS rats did not show a different preference for sucrose than
non-stressed female NS rats, and
stressed male NS rats tended to show higher preference for sucrose
than non-stressed male NS
rats. Stressed SwLo rats also did not show a different preference
for sucrose than non-stressed
SwLo rats. The effects on preference for sucrose could not be
explained by a change in caloric
intake as evidenced by patterns in food and water intake. Taken
together, these results suggest
that genetics can influence the outcome of CMS with respect to
effects of stress on preference for
sucrose and thus the known behavioral characteristics of a rat line
should be taken into
consideration when selecting animals for use in CMS
experiments.","Introduction - 1 -- Methods - 5 -- Animals and Housing Conditions -
5 -- Experimental Design - 6 -- Experiments - 7 -- Statistical
Analyses - 9 -- Results - 11 -- Sucrose Intake - 11 -- Water Intake
- 16 -- Total Fluid Intake - 19 -- Sucrose Preference - 19 -- Food
Intake - 26 -- Dark Phase Motor Activity - 28 -- Light Phase Motor
Activity - 32 -- Discussion - 36 -- References - 40 -- Table 1 - 44
-- Figure Captions - 45 -- Figure 1 - 55 -- Figure 2 - 56 -- Figure
3 - 57 -- Figure 4 - 58 -- Figure 5 - 59 -- Figure 6 - 60 -- Figure
7 - 61 -- Figure 8 - 62 -- Figure 9 - 63 -- Figure 10 - 64 --
Figure 11 - 65 -- Figure 12 - 66 -- Figure 13 - 67 -- Figure 14 -
68 -- Figure 15 - 69 -- Figure 16 - 70 -- Figure 17 - 71 -- Figure
18 - 72 -- Figure 19 - 73 -- Figure 20 - 74 -- Figure 21 - 75 --
Figure 22 - 76 -- Figure 23 - 77 -- Figure 24 - 78 -- Figure 25 -
79 -- Figure 26 - 80 -- Figure 27 - 81 -- Figure 28 - 82"
